,LanguageCode,SKU,Text,Title
133181,en,OP521N00A-K11,Love these jeans!,These fits perfectly and made my legs look very slim
133308,en,B5122D002-K11,Really happy with this production nice fit and heavy fabric for winters night,Brixton are a class brand
133352,en,BU311M01E-Q11,I ordered these as i liked the style and colour but they were very stiff and uncomfortable. Like wearing a really cheap boot. They also arrived with scuffs to the leather?,Very stiff and uncomfortable.
133406,en,GS122G09L-K13,"Hi , they didn&#39;t fit so they have been sent back . I haven&#39;t heard off you since to say they have been received . Thanks , Chris ",Item was returned as too small
133472,en,M2742A076-Q11,"Amazeballs. Great fit, as I knew my size having 4 mizunos previously. Will give it a proper test on a trail race soon.","Great design, solid structure, good fit."
133473,en,C1822B00D-C11,"I purchased this for my son but unfortunately the sleeves are much to long for this jacket ,very disappointed in this item",Disappointing purchase 
133485,en,T2212D004-Q11,Size 10 ankle wellies with comfy fur inside,"Amazingly comfy, keep your feet toasty and dry. Definitely would recommend"
133572,en,GI222J01V-K11,"The leather is very good, light and extremely supple, the tanning and the light distressing is very good as well. Zips seems of good quality as well as the internal lining.
Fitting is perfect, I&#39;m 195cm x 115 kg ~20% bf and the XL is just right. Maybe only the biceps and forearms are a bit tight but nothing uncomfortable.
Extremely satisfied, at this price it&#39;s a no brainer.",Buy it!
133576,en,TE421C08F-A11,"The dress itself was nice but when I tried it on and put my arms through each side the stitching came away, where the machine had sewed the band around, ",So I have returned the item 
133578,en,4BE51H04S-Q11,This bag is beautiful to look at. Good size and quality. However it has a very odd and unpleasant odour. I hope it is temporary as otherwise love the bag for the reduced price,Good but with unpleasant odour. 
133586,en,TO183A00G-J11,Good fit and comfortable to wear.,"Pleased with the item, good quality, very comfortable to wear."
133596,en,C1422S01R-Q11,"Really cool, &#39;tactical&#39; fleece from Carhartt",Great to wear as jacket on its own or as a base layer under a coat.
133601,en,SS912D00H-O12,"Lovely, should look even better when run in...",Dog&#39;s B******ks
133623,en,PI922NA0C-K11,Nothing!! Because I have yet to receive it. Its been over a week now.,Terrible service!! Taken my money and not received my items!
133631,en,S3722L009-Q11,"This jacket is extremely high quality.   Its a perfect fit for my son.   He normally wears a medium, I ordered this in a medium and it us the most perfect fit.",Highly recommended.  Looks great on too. 
133632,en,C1822G02H-K11,Excellent fit best price on the market and  £50 saving if I had bought from House of Fraser (I had but returned them)happy Days!,Great style jean.
133710,en,D3022D03O-K11,the best,dddd
133976,en,AQ011N000-Q11,Perfect ,Great fit
134035,en,AD542A24D-A11,I did not get the prodacts!I wrote you my notes&#x2F;report yesterday because we have a problem with the courier company... i hope did you get it !Just waiting for your answer please!Thank you! ,....
134209,en,S1E21P002-Q11,All good the only thing it splits at the back and goes to like mid of back so it&#39;s not practical also there&#39;s no hooks or anything for belt to hang on (where&#39;s a hole on one side which I think it&#39;s funny coz it&#39;s not helpful at all ) overall nice but not for such a high price. Would kept it if cost like £100. ,True to size and very high quality warm material 
134211,en,M3221BA32-G11,It&#39;s comfortable and fits perfectly. The only thing is that it doesn&#39;t look as red and bright as it appears in the picture. ,Good
134234,en,LA021C043-Q11,"The dress generally looks great when you put it on. For its price, the garment used for the top part felt a bit cheap. Also the bust is a bit tight for the size which makes the straps on the back a bit loose as opposed to the dress fitting nicely and the straps looking stretched&#x2F;relaxed as they are on the pics. Decided to keep it because it looks good overall though.","Great looking dress, garment and size could be better."
134306,en,PO222P03F-H11,Fit for purpose..,Good quality...
134407,en,GU122O02R-C11,Excellent choice ,Really nice T-shirt 
134558,en,LA911E00G-Q11,Really comfy. Fur lining is lovely for the winter. They are in a soft suede with a crepe sole so don&#39;t slip. ,If you are a half size I would go a size down as they are a generous fit.
134674,en,JW112D00N-Q11,Perfect,The shoe looks and feel great on.A real eye turner and feel so comfortable.
134743,en,BB151M008-Q11,Happy with the actual watch however extremely disappointed that despite paying £250 for the watch it comes in cheap packaging and no box. This is a gift and the least I would expect is for this to come in a smart box. After emailing immediately I still haven&#39;t had a reply so customer service is also poor. ,Not happy. 
134797,en,N1243E07O-Q11,"Uh, It would help if it had arrived by now.
Absolutely terrible service and ordered 8 days ago and your courier status is ordered and nothing else.
Won&#39;t be using you again and will warn others.",Unhappy
134841,en,AD542A2CL-G11,"Excellent boot, very comfortable and very stylish. Happy with the purchase :)",Would reccomend
134867,en,JA222Q0FW-K11,looks very smart lovely fabric.  Medium size compares to general medium size ,a good buy and not too expensive
134884,en,OS322Q03D-C11,Very handy for winter ,Material so soft yet warm
134885,en,N1244E08D-D11,not dissapointed this football is all its advertised and more,xmas present for my grandaughter she loves it
134894,en,TE412C00U-O11,Amazing slippers ,Really comfy and got her before Xmas 
134903,en,MK121I01K-C11,"i cannot comment on this, as this was missing for my order as this was for a Christmas present I am disappointed but you are looking into it I hope this is sorted soon  thank you ",it looks lovely
134991,en,IC141F042-K11,Love it and super warm ,Really please considering it was only £18 too
135047,en,ZZGZ0004S-K11,£50 gift card,"Meant as a gift on 14th January, still hasn&#39;t arrived, Very disappointed"
135223,en,RE011S05S-K11,"I don&#39;t know anything about it , because I have received yet",Just let me know when I&#39;m gonna get my order
135388,en,TH342B02A-K12,"Bought this for my son, true to size and looks good with jeans and nice shirt",Lovely bodywarmer
135422,en,M5921G02M-G11,True to size ,In love with it 
135541,en,BK512A02E-O11,The quality of these shoes is fantastic. Very comfortable and quite a wide fit. An F was comfortable even though I&#39;m usually a G in church&#39;s.,Super comfortable
135569,en,1ER42F01M-K11,"Excellent jacket, good quality, really pleased with it",5 star service from Zolando as usual
135595,en,TE451H039-T11,Perfect for holidays ,Perfect for holidays 
135605,en,K4422NA0M-K11,Cheap feel and quality,cheap
135645,en,AD116D02X-C11,"My son loves these trainers. The look, fit and style are great.  Delivery was superb- ordered Friday afternoon &amp; got the trainers Monday morning. Thanks",Perfect
135722,en,M0Q21P00E-J11,"Lovely coat, very warm unfortunately i found it a bit shapeless on me and the arms were very long. Returns and refund service was excellent so will definitely use again in the future.",Nice quality overall
135772,en,K4811S00E-Q11,"True to size, sole is quite high, don&#39;t be put off by the glitter! Inner soles can be removed if necessary. Wear with black ripped skinny jeans &amp; an oversized black tee.",Gorgeous 
135831,en,DC112B03W-K11,Good quality. Well made. Very light weight and true to size. 10 out of 10. Great service as usual.,Bang on. 
135843,en,ZI412AA01-Q11,good but the seize is too big.,i should have order for 10&#x2F;2
135846,en,1EB24J01H-O11,"only problem was the package it was badly damaged, open at both ends surprised the item didnt fall out. ",loved the product good quality
135879,en,RB021B004-K11,Short suede Reiss skirt in navy blue,"Lovely skirt, promptly delivered and at a good price!"
135969,en,CO351B000-B11,The product was quality  and nice but on fortunately it was too small for me . I would suggest that the Hat should be make in various sizes . ,Nice frabric 
136108,en,WH021L005-Q11,"a timeless leather jacket with amazing fake fur. I LOVE the fake fur collar, it&#39;s very very well made",Sexy and chic
136165,en,JW112A02I-Q11,"I would have loved to have written a review about these shoes, but the incompetent idiots at Zalando sent me a pair of size 6 women&#39;s Nike training shoes instead!
These shoes are now out of stock in my size, so I have been royally messed about and regrettably are unable to give customers the benefit of a review.
This was my first order with Zalando, so I am not confident of recommending them in future.
Jeffrey West shoes come with an excellent reputation and are fantastic quality in general. Try and buy them from another retailer would be my only advice!",Buy elsewhere
136200,en,N1242D0VT-Q11,Nice light shirt ideal recomend to everyone I got it in sale 60&quot;off ,Good product 
136201,en,N1242D0VT-K11,"Awesome product soft easy to wear ,","I didn&#39;t like the blue colour, it&#39;s looks different on the web than in reality"
136263,en,NU121J01X-C11,Beautiful sweatshirt. Only had medium left and I could have done with large but ordered it anyway. I have worn it and received compliments but have decided to give it to a younger slimmer friend. ,Great quality&#x2F;price and next day delivery from Zalando.
136264,en,L0U11E00D-J11,Sent the wrong size unfortunately. ,Lovely shoes but wrong size
136298,en,NA021B00A-K11,"I love the skirt, but sadly it&#39;s too tight on the waist, I usually wear a size 12 so thought size M would be ok, I&#39;ll have to send it back. but it&#39;s a lovely skirt.","great skirt, stylish, good quality fabric and make, but a bit small"
136516,en,KM551H00T-Q11,"Love my bag!! Quality faux leather bag. Decent size for  fitting all your e every day essentials, work docs and more ...love my bag!",Love my bag!
136696,en,EV941FA03-C11,ordered xl but have sent back to small I am only a size 12 not much hope for larger people,very small sizing
136746,en,1RU42G00V-Q11,Snug fit for XXL,Great Quality &amp; Value
136748,en,ME212A064-H11,Size 44,Very Good
136825,en,LI351H09E-E11,Leather quality is good.,A beauty!
136839,en,TO111B022-B11,Beautiful shoes and very comfortable,Good choice
136843,en,AD542A2C6-K11,"Good general purpose, casual wear trainers. I wanted these to wear to&#x2F;from sports rather than to play sports in, so didn&#39;t want mesh tops that would let wind&#x2F;water through, and didn&#39;t want to pay too much for performance features I wouldn&#39;t need. These do the job perfectly, are a comfortable fit, and good for general use.","Good, basic, general purpose trainer."
136882,en,TA111B0RN-Q11,Size is perfect and the shoes are very comfortable ,A must have
136979,en,R1922Q00C-K11,Poor quality jumper. 2 days wear looks like old used jumper,Poor quality jumper. 2 days wear looks like old used jumper
136983,en,AD112B0KE-B11,"5.5
Soft mesh fabric
Stretchy elasticated wear
My favourite trainers!!!! Narrow fit, dainty to look at
Colour looks more khaki in real life but I love it ",best trainers ever 
137402,en,AD542A2C6-Q11,Great buy,Very comfortable &amp; look good.
137403,en,A1822D05F-K11,"Nice fit, thin fabric though and one button coming off",Disappointing
137570,en,PQ411C000-Q11,Shoes are really nice but size is not adequate. I bought 3 but it was like 5. Sadly I had to return them.,"Well made shoes, very good quality."
137615,en,K4411IA0B-J11,As you dont ship to Ireland you said you would have to cancel the order ,vey dissapointed 
137645,en,ET981B04E-Q11,"The size is normal to fit, and the fabric is elastic with really pretty lace!",Pretty and high-quality
137701,en,AD543A1JX-K11,Found product very small made ,Too small need to return
137967,en,UG112A00S-Q11,Very nice boots,Really comfortable 
138019,en,TI512C00S-K11,satisfy ,it look exactly the same product and my size.
138425,en,TE411S00C-T11,Beautiful design!,Love the design and they are comfortable. Great for Spring time!
138431,en,EA852M00L-Q11,Unknown,Wrong watch was sent
138568,en,DI152D040-Q11,Bad service!,Wrong item sent.... Now Item is not in stock to reorder!
138600,en,GS182A01N-K11,"Came quick once ordered , came as expected good quality and good packing",Good product to and quick service would and have used the site to order more
138742,en,HI121Q00G-Q11,I&#39;m loving it ,Highly recommended! 
138823,en,FAD11B001-K11,Very comfortable and exactly the right colour. ,It was great that I could get them in my size from you which I couldn&#39;t get elsewhere
138902,en,WV021E00C-K11,"Gorgeous jacket, I&#39;m a sucker for light denim and this is no exception. Unique and perfect for warmer weather. I&#39;m giving it 4 rather than 5 stars as the tie&#x2F;belt is ridiculously long. Waven are obsessed with excess fabric, why??",Love it! Had to cut belt though.
139011,en,AD123G00S-A11,perfect only i ordered the wrong size,just what I wanted
139025,en,R1922O05X-Q11,"Doesn&#39;t look anything like it does in the picture, plus the material is really thin, almost transparent!! ",disappointed 
139028,en,HU721D029-H11,quality fabric is key and this one has it. The fit and cut is just right although their sizing is fairly big so a UK size 8 is Hugo XS. Wear with black trousers or pencil skirt ,Quality fabric and good workmanship
139029,en,AD541D0GN-Q11,Gym top ,"I really like this gym top, it&#39;s light gives coverage especially the chest area "
139050,en,P1422D01O-K11,Hey,Hi
139225,en,WR121N01Q-K11,sorry I do not like this style and fit of wrangler jeans   i will be returning this order as the jeans are too stretchy,tina bootcut are my favourite sorry i used my discount code to order the above 
139267,en,P5782A01N-K11,Great fit and stretchy material. Ideal for sport,Comfie briefs
139496,en,NM321K012-C11,Poor finish!,"Various threads just left unfinished at end of seams, looks awful, had to finish it myself"
139558,en,TO721G02A-Q11,"Absolutely love it! Perfect fit and a great looking faux leather, looks like real leather actually. Had so many compliments wearing it.",Great jacket! Excellent quality item!
139625,en,PU122E00E-K11,Nice model I&#39;m 178 cm tall and weighs 88 kilograms and ordered a size &quot;m&quot; fits me perfectly,Good stuff and good cut
139663,en,AD541A0ZH-K11,"The most comfortable shoes on the market. The boost sole is squishy under foot, soft to stand on all day &amp; the boost technology gives an everlasting spring to each step. There quite a good degree of heel to toe angle. There is some arch support which is fine for me but if you are looking for more arch support then the ultra boost ST models might be better. The sole is made from continental so traction is superior in all weather. The insoles are removable and do have an nmd type covering of the boost if you wish to remove them. All ultra boosts come with a torsion plate built into the sole, this helps with foot stability and arch stability. The upper is made from primeknit material, its super stretchy so there is no restriction to you feet at all, it has a sock like feel when the shoes are on feet, so much so you can forget you are wearing shoes! It is breathable but I do find my feet still get fairly hot inside these shoes. 
The colour of this shoe is a mix between blue and grey, and it has black peppered in throughout the primeknit with a black heel cap, black continental sole and a semi translucent cage. It is a stunning shoe, so much so I bought two pairs. 
Sizing - go true to size, do not size up as the primeknit upper is so stretchy the shoe will be too big. I&#39;m a UK 8.5 in women&#39;s and men&#39;s and the shoes fit perfectly, I can even fit an 8 quite happily due to the stretchy materials. Hope this helps",The worlds most comfortable shoe!!
139672,en,PO212B02Y-M11,"Another good pair of trainers   Great colour and size  
Arrived quickly and good price ",Another good price from Zalando
139690,en,AD122O08G-Q11,Don&#39;t order this they send you a different top! It&#39;s not what it shows In the picture. Then you&#39;ll receive awful customer service to rectify it. ,wrong t shirt bad customer service
139696,en,VE121E0RJ-Q11,"Looks fantastic in picture but the material is cheap and looks cheap, so very disappointed",Would not recommend it
139697,en,TO722Q02X-A11,Nice long sleeve top,"Comfortable, fits well and looks good"
139704,en,AD543A1JX-Q11,Really nice smart and comfortable trainers.  My boy loves them. ,Love them
139779,en,1VJ21C02V-H11,Unfortunately the dress did not suit me ,I sent the dress back 
139819,en,HU315B01W-N11,"I love Hummel trainers - they fit my feet really well and they&#39;re a bit different from the boring Nike&#x2F;Adidas ones that everyone else on the planet seems to wear. Just one issue with these ones - they&#39;re listed as &quot;pristine white&quot;, but they&#39;re not. They&#39;re actually a cream&#x2F;off-white colour, so the listing on here is a little misleading.",Great trainers but Zalando needs to amend its description
139829,en,DK124G00E-K11,"I&#39;ve returned this item before 2 days because the size doesn&#39;t fit but I didn&#39;t receive an email confirmation of receiving this item in your warehouse.
Thanks ",The fabric is very good quality but size 10 is small to the age of 10 it fits 8 years 
139870,en,AI111I00E-K11,Looks nice,Very comfortable 
140009,en,AD121G04G-K11,"Happy about product exactly how it&#39;s described.Trandy , for someone who want something different ","Super fast delivery,great service "
140029,en,AD541D0F4-A11,Really like this top. Great fit and different.,Definitely recommend this.
140255,en,ME2-mzw-0004-99,"really, really good",Looks great
140606,en,FA1-yzw-0015-99,all ok,socks good- everything good
141257,en,DI1-xza-0242-99,Well it's Diesel- so amazing……..a bit small,Great
141480,en,RE5-fza-0203-99,"i like this a lot, i want!!",reebok
141647,en,MA6-yzw-0002-99,"These jeans are amazing. I would recommend that others order their normal size and one size up - that's what I did. The larger ones were the right size for me…but it was a close call. Both looked great but my ""normal"" size really was a bit tight!",Simply perfect!
141864,en,SE6-xzw-0004-99,"speedy delivery, smooth ordering process",first class
142183,en,AD1-fzw-0206-99,"every thing was great, fast delivery, perfect fit, keep it up!",fantastic all round
142278,en,DO122B001-503,great,Chino
142521,en,N1241D05R-A11,"Lovely and soft Nike top.
Was surprised of soft the fabric is compared to my other Nike tops.
Perfect fit.",My favourite top!
142565,en,EC1-fzw-0047-99,"Got a pair of these boots for my Christmas. They are fabulous! Very warm, comfortable and very stylish. Got to be one of the best pairs I have ever owned and I like my boots! Have quite a few pairs!!
I would totally recommend these Ecco boots. Classic style. Excellent boot all round!",Christmas boots.
142879,en,AI2-uzw-0002-99,!,"Not too big, like most wellies!"
143102,en,LE221N00V-K13,Too short so I had to send them back.  Shame as they are a nice looking pair of jeans.,Too short.
143284,en,SO211M012-Q11,"This was the first item what i ordered from Zalando. I can say I am really Satisfy. This boots are awsome...good quality...good size , perfect! ",Perfect Item
143437,en,ON321N065-Q11,Jeans were ripped at the seam,","
144748,en,LA7-czw-0010-99,only available online and not through retail shops,quality product
145803,en,LA212B079-Q11,Nice trainers at a good price delivered swiftly thanks,Lacoste trainers
146242,en,MA321H02D-K11,"This coat is light for its chunky size, warm and of good quality.",Overall very happy with this purchase!
146550,en,GA712A003-304,"i like this article size 37 (EU) if its posible.Thanks""     (00447405210016)",I like
146796,en,HM181B05Y-G11,It is beautifully made and very comfortable to wear,My Nightie
146968,en,AN611MA0S-Q11,These are not over the knee boots. The height comes to just below the knee. They also don't look like good quality ,Disappointing
147200,en,TT741FA01-C11,"nice jacket, ordered a 16, felt more like a 12, very small made, returned",too small
147668,en,LE511D00B-708,Nice pair of sandals but was too small for me.,Small fitting
147842,en,SZ454H00E-O11, Good leather and it will not take long for it to be butter soft and nicely squelchy. Looks great with casual clothes.,Love it
147865,en,CL111C00O-G11,best shoe of this style I've ever worn,Glove like
148134,en,ZA821D01Q-Q11,Fits well and looks good,Looks good
148415,en,OM131B003-918,"Fantastic product, iv'e only used this a couple of times and already i can see the difference it's making.  My skin feels incredible it's really soft and moisturised and their are absolutely no shaving nicks or bumps on the skin, also my skins appearance has improved greatly no red rashes and reduces post acne marks.  Brilliant.",The Best Shave
148601,en,VE121I01H-502,"The picture doesn't do much justice to this lovely dress that is now my absolute favourite! It is so feminine, fits my figure perfectly (and it's so nice to have size 8 really fitting size 8, not 12) and   is just a joy to wear. Considering the price, it's just a treasure...",Loving it!
148795,en,N1243A0EU-Q11,My son enjoys the trainers says they are light and comfortable,Good fit
148925,en,VE321D00C-704,"The Jacket it's not so comfortable, the leather is too thick and you feel like you're wearing cupboard. Because the price is so high, I would give 3*s overall.",not too comfortable
149265,en,TL131A052-401,"This lipstick is lovely and the colour is really vibrant.
I would recommend purchasing it, and at the reduced price it's a real bargain.",Lovely Lipstick
149326,en,LA211D00C-002,Good looking and comfortable flip flops which arrived quickly after ordering.,Lacoste Flip Flops
149933,en,MI311Z00O-305,"Very nice shoes, they look really nice on the leg.",I recommend these shoes
149960,en,AD112B01C-002,"Sent american size 11 instead of UK 11 with NO returns slip, am very very disappointed !!!",Wrong size
149966,en,AD112B01F-002,"lovely pair of trainers and although they looked tight,surprisingly very comfy. also come with spare laces 4 a bit of customization.",happy feet
149980,en,GS122B03A-961,nice at it show,Jeans
150129,en,AD113D01W-J11,I have bought these as a christmas gift for my granddaughter so she hasn't tried them on yet.,flux trainers
150136,en,HU211A08U-A11,"Very elegant, generous fit",Pretty elegant comfortable
150328,en,PU112B014-702,"Awesome shoes, fits like a dream and worth every penny!! Speedy service at no extra cost!",Puma Ranger Brogues
150426,en,L1451A005-605,"smaller than I thought but love the style and the colour, want another !",I love it
150616,en,BE412A004-703,"I saw this shoe and thought, yeah classic. It reminded me of 80&90s dress code and being a person with an eye for good things I thought it'll be nice to have it in my collection and boy, I am not disappointed! It's a must buy for that classy guy out there.",Your money's worth!
150661,en,HU211C01I-707,"The tie up at back of left boot is not straight it is twisted. Inside sole is too short it does not reach all the way to the toe, it stops just where the toe starts",Flaw
150932,en,SE911C00H-703,"These boots look really good, they appear well made & fit true.
They look fab with leggings or under jeans.
The legs are a bit big just above the ankle but will fit perfect with thick winter socks ( which is why I bought them )
I have chunky calves & have problems with fit around the tops of boots but these fit really well.",good value boots
151128,en,ES111C00I-708,Lovely  leather boots true to colour ... deep tan!..not disappointed....a bit big but otherwise perfect for me..I'm 65 years..love the fact that there was no postage charged...I was dubious about ordering shoes online but   I would use this site again...excellent! Very Happy!,Unsure about buying shoes online....
151316,en,M1911X00E-708,Love these boots - funky chunky and comfy. I take a size 7/40 and find most footware to be too narrow and with a pointed toe. The heel is just at the right height to give you a sharp look.,Stylish and Comfy
151680,en,PI912C00G-802,"My husband loved the look,quality&comfort of these boots.",Biker look boots.
151742,en,TO111C00N-802,"Today i got my wellies,im very happy,they are the like in picture,and the packing is good quality. Thank You very much,",That's what i wanted
152421,en,JA444A015-802,Very practical and nice wash bag. It is made with high quality materials. I find it very convenient for any kind of trip and you can hang it anywhere you want. It has the right size for me!,Great wash bag
152794,en,DP521H00R-O11,Is a nice meterial ,Very nice
152972,en,GA352D002-802,Very happy and excellent  quality  my husband loved this belt,Birthday present
153083,en,DO216I001-G11,very pleased with the quality,xmas gift
153148,en,EC112A00Q-802,too loose/generous for my feet even though I ordered the same make and size i already own - ordered smaller size - but think I would have need half a size smaller which is not shown available.,great but generously sized
153214,en,DI121N019-Q11,"very good quality jeans, great colour as shown in the picture and true to size. only downside they are not really `bootcut` - they are very much straight jeans but this does not bother me. would definitely recommend! ",good quality jeans
153301,en,S1526K004-503,"This item is advertised as 100% cotton, but it's 75% cotton and the rest is polyester. Also the top shows a little bear on a sleeve, but in reality the top is plain white. Firstly I thought I was delivered a wrong item, but I re-ordered it again and unfortunately, I received the same thing. Very dissapointing.",Not as advertised
153544,en,PI912DA0Z-Q11,Comfortable and very smart.,Great boots for a smarter look.
153584,en,LA911C003-802,"I love how these boots feel on my cock, they are so soft and sensual and I love to shoot my big load all over them",Very Sexy
153688,en,EM111C005-701,"Received order 7 days after ordering -------- not bad in the week before Christmas!! Lovely colour and neat fit. Can't wait to wear them out but will buy waterproofing or similar before I do. Want to keep them looking as good as they do for as long as possible.Tops can be rolled over, giving an extra option.",Top Quality
153868,en,TH344A00Y-704,"I found the scarf to be soft, smooth to the skin and absorbed my tears with ease. The colour contrasts well against my eyes and hair createing a miraj of beauty and subtle innocence. Cannot reccomend higher!",Beautiful womans short scarf
154094,en,WA111D007-702,These must be the most comfortable and good-looking slippers I've ever had. They are relatively wide - just fine for normal-size feet but probably too wide for very slim feet.,comfortable and stylish
154107,en,C1181A017-Q11,"brought for my girlfriend very sexy looks just like model in picture, she says comfy to wear feels like she's wearing nothing at all

Very competitive price over £17 each in local shops ",Comfy sexy and competitive 
154381,en,M3111C00M-702,Great boots.Very cheap and excellent quality for the money.Love the shape and the comfort.,Excellent value!
154482,en,JA222I00D-503,best,best
155096,en,S3722G002-802,"Nice jacket,  but i found the material to be very firm",Disappointed
155493,en,TO722D00P-502,Pleased with product quality and delivery service.,Tom Tailor T shirt
156006,en,SE551E00D-F11,Good quality,"Good ""/><img src=x> Necklace"
156053,en,JK211B003-302,I ordered my shoes on 1 April but still haven't received them (it's now 10th).  Yodel parcel tracking is rubbish as it hasn;t been updated since 4th April so all in all I'm a bit disappointed.  I am hoping the shoes will make up for the long wait....,Can't comment as STILL haven't received my order!
157070,en,N1241C00J-404,It looks stylish and modern and is the right size for my requirements.,Nike sports bag
157103,en,DU511A002-503,"I needed a pair of party shoes, and party shoes I got!! The picture of these shoes almost doesn't do them justice they are far more sparkly in real live. They are super comfortable, and well they just look amazing.  Highly highly recommend!!!",Most Amazing Shoes in the WORLD
157202,en,HI151D00D-603,"The belt is too narrow as posed in the web page.
It looked sizeable normal jeans belt but turned out to be so narrow for slimer trouser belt hole. 
The length was ok 
I dont even know how to go about exchanging it as there is really no indication on how narrow or wide it is.",Expeected Different
158195,en,TO722D01W-204,The item was perfect! thank you!,ok
158537,en,AZ211B004-206,"Azuree is a new designer recommended by a friend and although I haven't worn the shoes much, I have only had them 4 days, I am very pleased with the quality and style.  They are so unusual completely different to my usual buys.  If they live up to the comfort aspect which is very important to me, I can see I will be buying more Azuree shoes in the future",Azuree a New Experience
158903,en,YO122D01U-550,The item is as good as it looks.i am happy wit it.am looking forward to do another order soon.,mr
159659,en,PI922QA0I-B11,My husband was very please .Was mŷ present for Christmas,Very good
159973,en,AS211C01L-710,"If you are looking for a trendy, well made ankle boot these Ash boots are a great purchase.  They are the perfect height for wearing comfortable all day and they look great with skinny jeans.  Thank you very much to the Zalanda team - the boots arrived wonderfully well packaged, in mint condition.  Excellent delivery tracking information.",Funky ankle boot
160008,en,GU121I01K-802,good,i like more colour
160758,en,SK111D009-802,my 3rd pair indifferent colours love them!,scheckers mules
160803,en,AD544A0DC-802,The quality of the material is so poor...it look so cheap and look like the company spend only  £2 for this bag..I am so disappointed with the purchase as from pictures it looks good.,Poor Quality  Bag..Don buy this
161270,en,KW312E00J-G11,Sensational boots! Really smart and comfortable! Perfect for both casual and formal wearing. Really chuffed with them!,Beautiful boots!
161837,en,AD541D0B2-I11,Too large across the chest.,Good quality but too large if you don&#39;t have ample cleavage.
162040,en,F1012A00C-802,"These shoes look great but unfortunately they are extremely painful when worn. After only 45 mins the right shoe had rubbed so much, a layer of skin the size of a penny had been ripped off my upper heel - very painful! I say 45 mins but it was actually less time to do the damage as I spent approximately 25 mins sat down on the train. Had my other heel not been protected by a plaster (from a different painful experience with a different pair of shoes) then no doubt I would have both heels missing a layer of skin. I'm sorry but I cannot leave a positive review for an item that has caused me so much pain.",Nice shoe but a painful item
162060,en,HU211A03F-802,Gorgeous shoes but they're far too wide for me!,Elegant shoes
162241,en,BE621J00T-502,felt like i'd had this hoodie for years.........just so comfy,soft and comfy
162296,en,NA652E003-102,"This brand produces ""nothing but quality""
I have had various items of clothing and all are top knotch !
This hat is double layer wool with roll back turn up  - small badge above.
Already bought the dark colour too - great winter hat",Napapijri FAGARAS - Hat - grey
162299,en,PE151H016-302,"I love pepe scarfs, this one comes in lovely autumnal shades and the cotton material is lovely and soft. It is slightly bigger than the summer ones I've got but for the autumn that is more practical as it protects me better from the chilly autumnal winds.",nice and practical scarf
163240,en,BU311B032-G11,"Really glam and lovely, don't look cheap and quite comfy.",Glamour and comfort!
163284,en,RI112A02D-702,"Shoe is very comfortable which is always the same with Rieker. It was not as I thought they would be from the picture but nevertheless am very pleased with them, shame they are only in Brown would have been nice to have had them in Black.",DMSSR
164669,en,P5154C002-702,The best wallet ever!,Excellent!
164696,en,MO711C00U-102,"Great quality- look fab
Very warm & different",Love these boots
164857,en,4BE22D00Z-550,I had contacted Benetton a few years ago asking for them to reiusse the Iconic Rugby Top & low & behold they have redeigned a new style. So when I saw you guys have come up with the goods I was jumping for joy. Benetton sizes always comes up small so I recommend to get a size larger than you normally take. If you missed out in the 80s heres your chance to buy at a excellent price. Rather than spend loads on an original second-hand one from a certain website like I did.,It's here at long last BENETTON RUGBY 2012
165005,en,ES124A021-702,"Nice trousers overall, on the small size for my son.  Packaged in an appalling way, inside out scrunched up as though someone had just taken them off, not sure if they had of fitted the creases would have come out in the wash??",Nice trousers
165056,en,C4122D01N-003,"Great T shirt, worth the money. Just quirky and different!",Original T
165085,en,FR322D015-504,Great t shirt and Great service,Franklin and Marshall t shirt
165391,en,E1322D01H-909,"Really soft fabric and true to size. Only niggle is that the shirt that was delivered was a V-neck, not round neck as described.",Stylish and good quality
165527,en,ZI111C09M-302,"great disappointment, because each shoe in a different shade",different shades of red
165541,en,PI911C077-303,Received item very quickly.  Excellent fit and a gorgeous colour...,The bees knees..
165601,en,RE544A031-802,Good design with plenty of space for weekends away or gym kit etc.,Reebok Rucksack
165975,en,BE622D02C-102,"I bought this shirt for my partner in XL which is what all his Bench t shirts are , however this is more like a small than an XL, really disapointing as it was a christmas present which i now have to return.",too small
165981,en,QS122D02J-205,"Although i like the top very much, good quality and stylish. I ordered a size small, and was sent a size large which is too big. Due to it taking a week to arrive it arrived just two days before my holiday anfd i am therefore disapointed that it will not be taken, and i dont have time to organise a replacment.",Wrong size delivered
166011,en,AD121J02R-112,super item...so trendy and comfy,love it
166181,en,S2116C01E-602,"very comfortable, great color - my 7 year old son loves them!",super wellies
166564,en,B2521B00X-801,"This skirt is very poorly cut, it has not shape whatsoever. No lining either. Returning it.",Very disappointed
166977,en,TO721B00Q-957,A little shorter and tighter than I was hoping but it's still a nice looking skirt with enough stretch in it to be comfortable. I think it did come up kind of small because I ordered an XL and it's very form-fitting. But it does say an XL is a 14 so that was fair. I've been looking for ages and really struggled to find one that wasn't the size of a belt or sat under my bra. Overall happy with it.,Nice skirt
167227,en,T1721C012-205,"Very nice material, style and colour.",different!
167254,en,UC122H002-604,Very nice!,my new coat
167559,en,AD544A0L7-002,"The dressing gown was lovely just the same as on the picture. the colours are vibrant and trendy my son really liked it, he said how soft it was.",Value for money
